poiId=115807, dealId=17328129
poiId=116474, dealId=18729241
poiId=116474, dealId=31616905
poiId=116474, dealId=31616907
poiId=116474, dealId=31618917
poiId=116474, dealId=31618918
poiId=116478, dealId=22598611
poiId=116632, dealId=21793348
poiId=11793, dealId=30236607
poiId=118153, dealId=11017386
poiId=118164, dealId=11017386
poiId=118180, dealId=11017386
poiId=118187, dealId=11017386
poiId=118573, dealId=30183860
poiId=118792, dealId=14750156
poiId=118792, dealId=30183860
poiId=118796, dealId=20044704
poiId=118796, dealId=20918821
poiId=118796, dealId=24878918
poiId=118796, dealId=24878929
poiId=119306, dealId=21819327
poiId=119347, dealId=21819327
poiId=119534, dealId=15003309
poiId=119534, dealId=15003343
poiId=119534, dealId=30008903
poiId=119541, dealId=17658191
poiId=119731, dealId=15834814
poiId=119731, dealId=24776886
poiId=119731, dealId=24776897
poiId=119890, dealId=3398269
poiId=120002, dealId=14795248
poiId=120002, dealId=24728665
poiId=120255, dealId=2718625
poiId=12097, dealId=24643449
poiId=121689, dealId=32356635
poiId=121689, dealId=32356636
poiId=121689, dealId=32428514
poiId=122396, dealId=22041162
poiId=122396, dealId=22041163
poiId=122396, dealId=22041167
poiId=122396, dealId=22041170
poiId=122396, dealId=22041171
poiId=122396, dealId=22041172
poiId=122396, dealId=22041173
poiId=122396, dealId=22042727
poiId=122396, dealId=22529072
poiId=122396, dealId=31925828
poiId=122451, dealId=22041162
poiId=122451, dealId=22041163
poiId=122451, dealId=22041167
poiId=122451, dealId=22041170
poiId=122451, dealId=22041171
poiId=122451, dealId=22041172
poiId=122451, dealId=22041173
poiId=122451, dealId=22042727
poiId=122451, dealId=22529072
poiId=122451, dealId=31925828
poiId=122451, dealId=31956098
poiId=122744, dealId=14936121
poiId=12346, dealId=30715372
poiId=12346, dealId=30715373
poiId=12346, dealId=30715374
poiId=12346, dealId=30715381
poiId=12346, dealId=30715382
poiId=12346, dealId=30715383
poiId=12346, dealId=30717136
poiId=12346, dealId=30717138
poiId=12346, dealId=30717141
poiId=12346, dealId=30718336
poiId=12346, dealId=30718337
poiId=123667, dealId=30460907
poiId=123667, dealId=31600602
poiId=123669, dealId=31325753
poiId=123678, dealId=31672284
poiId=123678, dealId=31672294
poiId=123761, dealId=31325753
poiId=124341, dealId=30928343
poiId=124371, dealId=15756150
poiId=125141, dealId=18770150
poiId=125141, dealId=31711972
poiId=125344, dealId=11461241
poiId=125366, dealId=12572613
poiId=125366, dealId=31847655
poiId=125366, dealId=31847656
poiId=125662, dealId=1966492
poiId=125704, dealId=11479787
poiId=125704, dealId=31558672
poiId=125954, dealId=11462104
poiId=125988, dealId=31614935
poiId=125988, dealId=31615196
poiId=125988, dealId=3286873
poiId=126022, dealId=18040076
poiId=126022, dealId=18040077
poiId=126022, dealId=18040078
poiId=126022, dealId=18040079
poiId=126022, dealId=18040080
poiId=126022, dealId=18057158
poiId=126022, dealId=20512685
poiId=126201, dealId=18250503
poiId=126201, dealId=31286291
poiId=126201, dealId=31286292
poiId=126201, dealId=31286293
poiId=126201, dealId=31286294
poiId=126201, dealId=31286295
poiId=126298, dealId=11473929
poiId=126321, dealId=1636560
poiId=126481, dealId=20386439
poiId=126481, dealId=30138196
poiId=126481, dealId=30953553
poiId=126508, dealId=30772262
poiId=126650, dealId=14808356
poiId=126715, dealId=5798551
poiId=126882, dealId=12562917
poiId=127237, dealId=31220742
poiId=127237, dealId=31220743
poiId=127237, dealId=31220744
poiId=127237, dealId=31220745
poiId=127339, dealId=20986091
poiId=127339, dealId=22525582
poiId=127445, dealId=18784388
poiId=127445, dealId=18785198
poiId=127481, dealId=21497459
poiId=128202, dealId=10510638
poiId=128202, dealId=30030491
poiId=128254, dealId=10510638
poiId=128254, dealId=30030491
poiId=128450, dealId=24630140
poiId=130134, dealId=5272354
poiId=130311, dealId=12432724
poiId=131371, dealId=11525540
poiId=131371, dealId=11525589
poiId=131371, dealId=15812487
poiId=131371, dealId=16644662
poiId=131371, dealId=22577512
poiId=131755, dealId=22546313
poiId=131777, dealId=32418446
poiId=131883, dealId=11481838
poiId=131884, dealId=3534747
poiId=131946, dealId=18662707
poiId=132667, dealId=11485111
poiId=132667, dealId=16627660
poiId=132667, dealId=16627687
poiId=132667, dealId=16749999
poiId=132667, dealId=16750842
poiId=132667, dealId=30232221
poiId=132746, dealId=30808912
poiId=132746, dealId=30854472
poiId=132746, dealId=30957367
poiId=132746, dealId=31503656
poiId=133741, dealId=15261979
poiId=134206, dealId=18014389
poiId=134206, dealId=18014518
poiId=134206, dealId=32356098
poiId=134226, dealId=20550047
poiId=134251, dealId=17658191
poiId=134251, dealId=21819327
poiId=134255, dealId=4709049
poiId=134475, dealId=31811729
poiId=135258, dealId=11531468
poiId=135304, dealId=11424390
poiId=135601, dealId=15803785
poiId=135763, dealId=16631328
poiId=135768, dealId=31774601
poiId=135774, dealId=16690918
poiId=135774, dealId=244374
poiId=135788, dealId=1719269
poiId=135794, dealId=11630792
poiId=135794, dealId=19652279
poiId=135794, dealId=19652280
poiId=135794, dealId=20593544
poiId=135794, dealId=20593642
poiId=135794, dealId=20593682
poiId=135794, dealId=20791010
poiId=135794, dealId=22189027
poiId=135794, dealId=22386808
poiId=135794, dealId=30042710
poiId=135794, dealId=30267735
poiId=135794, dealId=30273951
poiId=135794, dealId=30575988
poiId=135794, dealId=31391638
poiId=135794, dealId=31469603
poiId=135794, dealId=31640935
poiId=135794, dealId=31641932
poiId=135794, dealId=31641933
poiId=135794, dealId=31649688
poiId=135794, dealId=31649689
poiId=135794, dealId=31649690
poiId=135794, dealId=31809853
poiId=135794, dealId=31854833
poiId=135794, dealId=31933067
poiId=135794, dealId=31934935
poiId=135794, dealId=31954782
poiId=135810, dealId=17980275
poiId=135811, dealId=1721896
poiId=135811, dealId=1721901
poiId=135811, dealId=17899374
poiId=135812, dealId=16640797
poiId=135831, dealId=12840022
poiId=135831, dealId=12840042
poiId=135831, dealId=18247633
poiId=135831, dealId=18247634
poiId=135831, dealId=18253591
poiId=135831, dealId=20884563
poiId=135831, dealId=21817339
poiId=135831, dealId=21817611
poiId=135831, dealId=30062593
poiId=135831, dealId=30062594
poiId=135831, dealId=30062595
poiId=135831, dealId=30062624
poiId=135831, dealId=30062625
poiId=135831, dealId=31648260
poiId=135831, dealId=31648262
poiId=135832, dealId=31648260
poiId=135832, dealId=31648262
poiId=135833, dealId=12840022
poiId=135833, dealId=12840042
poiId=135833, dealId=30062593
poiId=135833, dealId=30062594
poiId=135833, dealId=30062595
poiId=135833, dealId=30062624
poiId=135833, dealId=30062625
poiId=135853, dealId=2545790
poiId=135870, dealId=19800105
poiId=135870, dealId=2349155
poiId=135901, dealId=1709505
poiId=135901, dealId=1709506
poiId=135901, dealId=1709507
poiId=135906, dealId=12120221
poiId=135915, dealId=254985
poiId=136021, dealId=22066673
poiId=136038, dealId=14709985
poiId=136038, dealId=30881825
poiId=136051, dealId=10194647
poiId=136051, dealId=1810933
poiId=136089, dealId=30655491
poiId=136111, dealId=31477779
poiId=136115, dealId=12750576
poiId=136115, dealId=17450111
poiId=136128, dealId=30400936
poiId=136131, dealId=22486717
poiId=136168, dealId=14972096
poiId=136203, dealId=20802412
poiId=136203, dealId=31774543
poiId=136205, dealId=31692976
poiId=136206, dealId=17272255
poiId=136292, dealId=16653525
poiId=136302, dealId=1946126
poiId=136302, dealId=2861791
poiId=136303, dealId=14771419
poiId=136362, dealId=31297747
poiId=136362, dealId=31297842
poiId=136381, dealId=30056713
poiId=136382, dealId=16508775
poiId=136416, dealId=15345822
poiId=136420, dealId=10356200
poiId=136420, dealId=10605207
poiId=136420, dealId=12057168
poiId=136420, dealId=21514640
poiId=136421, dealId=16508775
poiId=136424, dealId=19778938
poiId=136532, dealId=11498081
poiId=136532, dealId=18034962
poiId=136558, dealId=32375313
poiId=136637, dealId=18076521
poiId=136686, dealId=15759926
poiId=136731, dealId=30040401
poiId=136731, dealId=31561249
poiId=136731, dealId=31584751
poiId=137059, dealId=15908780
poiId=137059, dealId=21494757
poiId=137059, dealId=24675418
poiId=137059, dealId=24960408
poiId=137059, dealId=266379
poiId=137059, dealId=30258684
poiId=137059, dealId=30583151
poiId=137059, dealId=30838719
poiId=137255, dealId=21451644
poiId=137269, dealId=1686441
poiId=137685, dealId=30009075
poiId=137826, dealId=16802107
poiId=137991, dealId=11630792
poiId=137991, dealId=20791010
poiId=137991, dealId=30575988
poiId=137991, dealId=31469603
poiId=137991, dealId=31641932
poiId=137991, dealId=31641933
poiId=137991, dealId=31809853
poiId=137991, dealId=31933067
poiId=137991, dealId=31934935
poiId=138106, dealId=14815282
poiId=138106, dealId=14815318
poiId=138106, dealId=14815322
poiId=138106, dealId=14828894
poiId=138123, dealId=15118095
poiId=138153, dealId=11445074
poiId=138459, dealId=17263583
poiId=138459, dealId=17263626
poiId=138459, dealId=17263635
poiId=138459, dealId=17263637
poiId=138459, dealId=1777084
poiId=138459, dealId=18715059
poiId=138459, dealId=2739222
poiId=138459, dealId=2963505
poiId=138459, dealId=2982100
poiId=138459, dealId=3166123
poiId=138459, dealId=31939757
poiId=138691, dealId=30900678
poiId=138891, dealId=11011965
poiId=138891, dealId=12583088
poiId=138891, dealId=12829217
poiId=138891, dealId=12829251
poiId=138891, dealId=12829420
poiId=138891, dealId=17344805
poiId=138891, dealId=22500240
poiId=138891, dealId=22500283
poiId=138891, dealId=32353832
poiId=139179, dealId=10064091
poiId=139179, dealId=15807348
poiId=139179, dealId=31076543
poiId=139179, dealId=3137093
poiId=139266, dealId=30464067
poiId=139266, dealId=30464068
poiId=139266, dealId=31268285
poiId=139266, dealId=31268286
poiId=139266, dealId=31708247
poiId=139266, dealId=31708248
poiId=139266, dealId=32407735
poiId=139266, dealId=32407736
poiId=139403, dealId=11493610
poiId=139403, dealId=31657661
poiId=140141, dealId=15405267
poiId=140141, dealId=31460147
poiId=140319, dealId=31338458
poiId=140354, dealId=15427262
poiId=140358, dealId=30887869
poiId=140393, dealId=15748837
poiId=140393, dealId=21665590
poiId=140400, dealId=2018776
poiId=140401, dealId=14748556
poiId=140401, dealId=14843951
poiId=140401, dealId=21434654
poiId=140406, dealId=24675895
poiId=140438, dealId=11358336
poiId=140463, dealId=31558924
poiId=140538, dealId=12009677
poiId=140538, dealId=16657474
poiId=140538, dealId=16657477
poiId=140538, dealId=31239237
poiId=140538, dealId=31239265
poiId=140555, dealId=275369
poiId=140565, dealId=14846984
poiId=140606, dealId=14815190
poiId=140606, dealId=14815214
poiId=140606, dealId=1856378
poiId=140607, dealId=4576764
poiId=140620, dealId=20252387
poiId=140620, dealId=31774922
poiId=140680, dealId=12020629
poiId=1407152, dealId=17025919
poiId=1407154, dealId=11505135
poiId=1407154, dealId=11505136
poiId=1407154, dealId=11505155
poiId=1407154, dealId=11505156
poiId=140720, dealId=30024129
poiId=1407329, dealId=30956420
poiId=140744, dealId=10150847
poiId=1407533, dealId=20386439
poiId=1407533, dealId=30138196
poiId=1407533, dealId=30953553
poiId=1407603, dealId=16272583
poiId=1407605, dealId=14930632
poiId=1407700, dealId=31483929
poiId=1407700, dealId=31483930
poiId=1407700, dealId=31483931
poiId=1407700, dealId=31483932
poiId=1407700, dealId=31483933
poiId=1408177, dealId=10742769
poiId=1408206, dealId=31226592
poiId=1408240, dealId=19684850
poiId=1408240, dealId=19684851
poiId=1408240, dealId=19856058
poiId=1408240, dealId=22088097
poiId=1408240, dealId=22149545
poiId=1408240, dealId=30042561
poiId=1408240, dealId=30095397
poiId=1408240, dealId=30938039
poiId=1408240, dealId=30938040
poiId=1408240, dealId=31680270
poiId=1408240, dealId=31851489
poiId=1408240, dealId=31851493
poiId=1408457, dealId=31641300
poiId=1408457, dealId=31641301
poiId=1408457, dealId=31641992
poiId=1408457, dealId=31641993
poiId=1408457, dealId=31642694
poiId=1408457, dealId=31642695
poiId=1408457, dealId=31642831
poiId=1408901, dealId=18406716
poiId=1408901, dealId=2608923
poiId=1408966, dealId=10714141
poiId=1408966, dealId=24673550
poiId=1408967, dealId=20954218
poiId=1408972, dealId=20917887
poiId=1408984, dealId=12212939
poiId=1408984, dealId=12212945
poiId=1408984, dealId=12212946
poiId=1408984, dealId=12212965
poiId=1408984, dealId=15793365
poiId=1408984, dealId=15793389
poiId=1409077, dealId=12212939
poiId=1409077, dealId=12212945
poiId=1409077, dealId=12212946
poiId=1409077, dealId=12212965
poiId=1409077, dealId=15793365
poiId=1409077, dealId=15793389
poiId=1409091, dealId=31468044
poiId=1409091, dealId=31711206
poiId=1409373, dealId=16709841
poiId=1409373, dealId=22149005
poiId=1409373, dealId=24951443
poiId=1409373, dealId=30779191
poiId=1409373, dealId=31122128
poiId=140939, dealId=12120156
poiId=1409499, dealId=13499685
poiId=1409606, dealId=10237392
poiId=1409606, dealId=12168153
poiId=1409606, dealId=12433742
poiId=1409606, dealId=19521790
poiId=1409606, dealId=5634331
poiId=1409681, dealId=12139820
poiId=1409728, dealId=10517962
poiId=1409728, dealId=10517964
poiId=1409728, dealId=14809813
poiId=1409728, dealId=14809832
poiId=1409728, dealId=16734643
poiId=1409728, dealId=22460515
poiId=1409728, dealId=31093433
poiId=1409831, dealId=18704562
poiId=1409831, dealId=18705514
poiId=1409831, dealId=18705661
poiId=1409831, dealId=18705754
poiId=1409831, dealId=18711010
poiId=1410110, dealId=22659027
poiId=1410110, dealId=30323014
poiId=1410346, dealId=30352262
poiId=1410359, dealId=32396581
poiId=1410359, dealId=32396598
poiId=1410359, dealId=32396599
poiId=1410372, dealId=30032530
poiId=1410449, dealId=30955589
poiId=1410526, dealId=12796322
poiId=1410576, dealId=3056608
poiId=1411121, dealId=11035187
poiId=1411497, dealId=31640120
poiId=1411681, dealId=15089055
poiId=1411705, dealId=10274343
poiId=1411705, dealId=10274427
poiId=1411705, dealId=11547702
poiId=1411705, dealId=16713667
poiId=141192, dealId=12043535
poiId=141192, dealId=31463824
poiId=1412064, dealId=15556682
poiId=1412069, dealId=22153402
poiId=1412069, dealId=22153409
poiId=1412072, dealId=16640426
poiId=141218, dealId=20894889
poiId=141218, dealId=30802615
poiId=141219, dealId=12032261
poiId=1412255, dealId=31738398
poiId=1412299, dealId=11442685
poiId=1412299, dealId=20825309
poiId=1412299, dealId=22075049
poiId=1412299, dealId=22100089
poiId=1413156, dealId=24676615
poiId=1413156, dealId=31708989
poiId=1413466, dealId=15377004
poiId=141367, dealId=18711568
poiId=141367, dealId=30526680
poiId=141375, dealId=20325841
poiId=141399, dealId=30808912
poiId=141399, dealId=30854472
poiId=141399, dealId=30957367
poiId=141399, dealId=31503656
poiId=1414584, dealId=15040978
poiId=1414584, dealId=1632891
poiId=141512, dealId=11992569
poiId=141512, dealId=30406239
poiId=141512, dealId=30406241
poiId=141512, dealId=30406244
poiId=141512, dealId=30406247
poiId=1415157, dealId=24310659
poiId=1415157, dealId=3169042
poiId=141517, dealId=14749063
poiId=141517, dealId=14749130
poiId=141517, dealId=15003309
poiId=141517, dealId=15003343
poiId=141517, dealId=30008903
poiId=141517, dealId=30096435
poiId=1416078, dealId=15037412
poiId=1416793, dealId=15399739
poiId=1416793, dealId=17602548
poiId=141720, dealId=22121622
poiId=141756, dealId=30074041
poiId=141756, dealId=30074042
poiId=141756, dealId=30074043
poiId=141756, dealId=31462853
poiId=1417642, dealId=17906628
poiId=1418278, dealId=11525424
poiId=1418278, dealId=14760842
poiId=1418278, dealId=2636885
poiId=1418345, dealId=16518951
poiId=142013, dealId=17890769
poiId=142013, dealId=17890779
poiId=142013, dealId=20451406
poiId=142013, dealId=30265948
poiId=142031, dealId=16773408
poiId=142031, dealId=30976497
poiId=142041, dealId=1652353
poiId=142042, dealId=10931028
poiId=142044, dealId=1758080
poiId=142082, dealId=11358093
poiId=142165, dealId=22363699
poiId=142165, dealId=30970250
poiId=142165, dealId=30970255
poiId=142165, dealId=30970293
poiId=142165, dealId=30970326
poiId=142165, dealId=30970342
poiId=142165, dealId=30970349
poiId=142165, dealId=30970364
poiId=142169, dealId=31769206
poiId=142169, dealId=31769211
poiId=142169, dealId=31769217
poiId=142169, dealId=31769220
poiId=142296, dealId=17011397
poiId=142296, dealId=20917740
poiId=142299, dealId=11512475
poiId=142543, dealId=11479504
poiId=142547, dealId=24738097
poiId=142560, dealId=2112480
poiId=143231, dealId=12262948
poiId=143231, dealId=17025860
poiId=143240, dealId=18213360
poiId=143240, dealId=30026652
poiId=143240, dealId=30352021
poiId=143240, dealId=31734607
poiId=143361, dealId=11415765
poiId=143361, dealId=11434655
poiId=143361, dealId=16631328
poiId=143361, dealId=31080639
poiId=143361, dealId=31080649
poiId=143361, dealId=3456524
poiId=143361, dealId=3457033
poiId=143494, dealId=30823565
poiId=143494, dealId=30823566
poiId=143494, dealId=30823567
poiId=143589, dealId=18247633
poiId=143589, dealId=18247634
poiId=143589, dealId=18253591
poiId=143589, dealId=20884563
poiId=143589, dealId=21817339
poiId=143589, dealId=21817611
poiId=143752, dealId=12414533
poiId=143752, dealId=5978053
poiId=143754, dealId=12414533
poiId=143754, dealId=5978053
poiId=143755, dealId=12414533
poiId=143755, dealId=5978053
poiId=1440, dealId=16826638
poiId=1440, dealId=17658128
poiId=144042, dealId=13519168
poiId=144042, dealId=13529610
poiId=144042, dealId=254600
poiId=14407, dealId=24664051
poiId=1441, dealId=4034406
poiId=144161, dealId=17205309
